0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:28 +0200] "GET /web-market/getStudentPhoto/10 HTTP/1.1" 200 277342
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:28 +0200] "GET /web-market/userCabinet HTTP/1.1" 200 3132
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:29 +0200] "GET /web-market/resources/static/css/sansation_light.woff HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:29 +0200] "GET /web-market/sansation_light.woff HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:30 +0200] "GET /web-market/shopping_cart HTTP/1.1" 200 4035
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:30 +0200] "GET /web-market/sansation_light.woff HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:32 +0200] "GET /web-market/products?size=10&page=1 HTTP/1.1" 200 5845
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:33 +0200] "GET /web-market/getStudentPhoto/2 HTTP/1.1" 200 135367
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:33 +0200] "GET /web-market/getStudentPhoto/3 HTTP/1.1" 200 167761
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:33 +0200] "GET /web-market/resources/static/css/sansation_light.woff HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:33 +0200] "GET /web-market/getStudentPhoto/6 HTTP/1.1" 200 247656
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:33 +0200] "GET /web-market/getStudentPhoto/4 HTTP/1.1" 200 254988
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:33 +0200] "GET /web-market/getStudentPhoto/9 HTTP/1.1" 200 51041
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:33 +0200] "GET /web-market/getStudentPhoto/1 HTTP/1.1" 200 135367
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:33 +0200] "GET /web-market/getStudentPhoto/8 HTTP/1.1" 200 256990
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:33 +0200] "GET /web-market/getStudentPhoto/7 HTTP/1.1" 200 296360
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:33 +0200] "GET /web-market/getStudentPhoto/5 HTTP/1.1" 200 318108
